"package_id","session_id","final_package_tier","final_cleaned_duration","final_cleaned_price"
1,"1","Basic",45,"$150.00"
2,"2","Basic",45,"$150.00"
3,"3","Basic",45,"$150.00"
4,"4","Basic",45,"$150.00"
5,"5","Basic",45,"$150.00"
6,"6","Basic",45,"$150.00"
7,"7","Basic",45,"$150.00"
8,"8","Standard",60,"$199.99"
9,"9","Premium",120,"$299.99"
10,"10","Deluxe",240,"$599.99"
11,"11","Basic",45,"$150.00"
12,"12","Basic",45,"$150.00"
13,"13","Basic",45,"$150.00"
14,"14","Basic",45,"$150.00"
15,"15","Basic",45,"$150.00"
16,"16","Basic",45,"$150.00"
17,"17","Basic",45,"$150.00"
18,"18","Basic",45,"$150.00"
19,"19","Basic",45,"$150.00"
20,"20","Basic",45,"$150.00"
21,"21","Standard",60,"$199.99"
22,"22","Standard",60,"$199.99"
23,"23","Standard",60,"$199.99"
24,"24","Standard",60,"$199.99"
25,"25","Standard",60,"$199.99"
26,"26","Standard",60,"$199.99"
27,"27","Standard",60,"$199.99"
28,"28","Standard",60,"$199.99"
29,"29","Standard",60,"$199.99"
30,"30","Standard",60,"$199.99"
31,"31","Premium",120,"$299.99"
32,"32","Premium",120,"$299.99"
33,"33","Premium",120,"$299.99"
34,"34","Premium",120,"$299.99"
35,"35","Premium",120,"$299.99"
36,"36","Premium",120,"$299.99"
37,"37","Premium",120,"$299.99"
38,"38","Premium",120,"$299.99"
39,"39","Premium",120,"$299.99"
40,"40","Premium",120,"$299.99"
41,"41","Deluxe",240,"$599.99"
42,"42","Deluxe",240,"$599.99"
43,"43","Deluxe",240,"$599.99"
44,"44","Deluxe",240,"$599.99"
45,"45","Deluxe",240,"$599.99"
46,"46","Deluxe",240,"$599.99"
47,"47","Deluxe",240,"$599.99"
48,"48","Deluxe",240,"$599.99"
49,"49","Deluxe",240,"$599.99"
50,"50","Deluxe",240,"$599.99"
51,"51","Luxury",480,"$2999.99"
52,"52","Luxury",480,"$2999.99"
53,"53","Luxury",480,"$2999.99"
54,"54","Luxury",480,"$2999.99"
55,"55","Luxury",480,"$2999.99"
56,"56","Luxury",480,"$2999.99"
57,"57","Luxury",480,"$2999.99"
58,"58","Luxury",480,"$2999.99"
59,"59","Luxury",480,"$2999.99"
60,"60","Luxury",480,"$2999.99"
61,"61","Basic",45,"$150.00"
62,"62","Standard",60,"$199.00"
63,"63","Premium",120,"$299.99"
64,"64","Deluxe",240,"$59999.00"
65,"65","Luxury",480,"$3000.00"
66,"66","Basic",45,"$150.00"
67,"67","Standard",60,"$199.99"
68,"68","Premium",120,"$299.99"
69,"69","Premium",120,"$299.99"
70,"70","Missing",999,"$0.00"
71,"71","Basic",45,"$150.00"
72,"72","Standard",60,"$199.99"
73,"73","Premium",120,"$299.99"
74,"74","Deluxe",240,"$599.99"
75,"75","Luxury",480,"$2999.99"
76,"76","Basic",45,"$150.00"
77,"77","Standard",60,"$199.99"
78,"78","Premium",120,"$299.99"
79,"79","Deluxe",240,"$599.99"
80,"80","Luxury",480,"$2999.99"
81,"81","Basic",45,"$150.00"
82,"82","Standard",60,"$199.99"
83,"83","Premium",120,"$299.99"
84,"84","Deluxe",240,"$599.99"
85,"85","Luxury",480,"$2999.99"
86,"86","Basic",45,"$150.12"
87,"87","Standard",60,"$200.00"
88,"88","Premium",120,"$299.90"
89,"89","Deluxe",240,"$599.00"
90,"90","Luxury",480,"$2999.00"
91,"91","Basic",45,"$150.00"
92,"92","Standard",60,"$199.99"
93,"93","Premium",120,"$299.99"
94,"94","Deluxe",240,"$599.99"
95,"95","Luxury",480,"$2999.99"
96,"96","Basic",45,"$150.00"
97,"97","Standard",60,"$199.99"
98,"98","Premium",120,"$299.99"
99,"99","Deluxe",240,"$599.99"
100,"100","Luxury",480,"$2999.99"
101,"101","Basic",45,"$150.00"
102,"102","Standard",60,"$199.99"
103,"103","Premium",120,"$299.99"
104,"104","Deluxe",240,"$599.99"
105,"105","Luxury",480,"$2999.99"
106,"106","Basic",45,"$150.00"
107,"107","Standard",60,"$199.99"
108,"108","Premium",120,"$299.99"
109,"109","Deluxe",240,"$599.99"
110,"110","Luxury",480,"$2999.99"
111,"111","Basic",45,"$150.00"
112,"112","Standard",60,"$199.99"
113,"113","Premium",120,"$299.99"
114,"114","Deluxe",240,"$599.99"
115,"115","Luxury",480,"$2999.99"
116,"116","Basic",45,"$150.00"
117,"117","Standard",60,"$199.99"
118,"118","Premium",120,"$299.99"
119,"119","Deluxe",240,"$599.99"
120,"120","Luxury",480,"$2999.99"
121,"121","Basic",45,"$150.00"
122,"122","Standard",60,"$200.00"
123,"123","Premium",120,"$300.00"
124,"124","Deluxe",240,"$600.00"
125,"125","Luxury",480,"$3000.00"
126,"126","Basic",45,"$150.00"
127,"127","Standard",60,"$199.00"
128,"128","Premium",120,"$299.00"
129,"129","Deluxe",240,"$599.00"
130,"130","Luxury",480,"$2999.00"
131,"131","Basic",45,"$150.00"
132,"132","Standard",60,"$199.99"
133,"133","Premium",120,"$299.99"
134,"134","Deluxe",240,"$599.99"
135,"135","Luxury",480,"$2999.99"
