"package_id","session_id","package_tier","duration_minutes","price"
1,"1","BASIC","45","150.00"
2,"2","BASIC","45","150.00"
3,"3","BASIC","45","150.00"
4,"4","BASIC","45","150.00"
5,"5","BASIC","45","150.00"
6,"6","BASIC","45","150.00"
7,"7","BASIC","45","150.00"
8,"8","STANDARD","60","199.99"
9,"9","PREMIUM","120","299.99"
10,"10","DELUXE","240","599.99"
11,"11","basic","45","150.00"
12,"12"," BASIC ","45","150"
13,"13","BaSiC","45","150.00"
14,"14","BASCI","45","150.00"
15,"15","basic",NULL,"150.00"
16,"16","basic","0","150.00"
17,"17","basic","45",NULL
18,"18","basic","45","150.00"
19,"19","basic","45","$150.00"
20,"20","basic","-45","150.00"
21,"21","standard","60","199.99"
22,"22"," STANDARD","60","199.99"
23,"23","Standrd","60","199.99"
24,"24","standard ",NULL,"199.99"
25,"25","standard","60",NULL
26,"26","standard","0","199.99"
27,"27","standard","60","199..99"
28,"28","standard","60","$199.99"
29,"29","standard","-60","199.99"
30,"30","standard","sixty","199.99"
31,"31","premium","120","299.99"
32,"32","PREMIUM","120","299.99"
33,"33","premum","120","299.99"
34,"34","premium ",NULL,"299.99"
35,"35","premium","120",NULL
36,"36","premium","0","299.99"
37,"37","premium","120","299..99"
38,"38","premium","120","$299.99"
39,"39","premium","-120","299.99"
40,"40","premium","one twenty","299.99"
41,"41","deluxe","240","599.99"
42,"42","DELUXE","240","599.99"
43,"43","delux","240","599.99"
44,"44"," deluxe ",NULL,"599.99"
45,"45","deluxe","240",NULL
46,"46","deluxe","0","599.99"
47,"47","deluxe","240","599..99"
48,"48","deluxe","240","$599.99"
49,"49","deluxe","-240","599.99"
50,"50","deluxe","two forty","599.99"
51,"51","luxury","480","2999.99"
52,"52","LUXURY","480","2999.99"
53,"53","luxry","480","2999.99"
54,"54"," luxury ",NULL,"2999.99"
55,"55","luxury","480",NULL
56,"56","luxury","0","2999.99"
57,"57","luxury","480","2999..99"
58,"58","luxury","480","$2999.99"
59,"59","luxury","-480","2999.99"
60,"60","luxury","four eighty","2999.99"
61,"61","BASIC","45","one fifty"
62,"62","standard","sixty","$199"
63,"63","PREMIUM",NULL,"299.99"
64,"64","Deluxe","240","599,99"
65,"65","Luxury","480","3k"
66,"66","BASIC","45",""
67,"67","","60","199.99"
68,"68",NULL,"120","299.99"
69,"69","premium",NULL,NULL
70,"70","???","999","0"
71,"71","basic","45","150.00"
72,"72","standard","60","199.99"
73,"73","premium","120","299.99"
74,"74","deluxe","240","599.99"
75,"75","luxury","480","2999.99"
76,"76"," basic","45","150.00"
77,"77","standard ","60","199.99"
78,"78","PREMIUM","120","299.99"
79,"79","DELUXE","240","599.99"
80,"80","LUXURY","480","2999.99"
81,"81","BASIC","045","150.00"
82,"82","STANDARD","060","199.99"
83,"83","PREMIUM","120","299.99"
84,"84","DELUXE","240","599.99"
85,"85","LUXURY","480","2999.99"
86,"86","basic","45","150.12345"
87,"87","standard","60","199.9999"
88,"88","premium","120","299.9"
89,"89","deluxe","240","599"
90,"90","luxury","480","2999"
91,"91","basic","45","-150.00"
92,"92","standard","60","-199.99"
93,"93","premium","120","-299.99"
94,"94","deluxe","240","-599.99"
95,"95","luxury","480","-2999.99"
96,"96","basic",NULL,NULL
97,"97","standard",NULL,NULL
98,"98","premium",NULL,NULL
99,"99","deluxe",NULL,NULL
100,"100","luxury",NULL,NULL
101,"101","bAsIc","45","150.00"
102,"102","sTaNdArD","60","199.99"
103,"103","pReMiUm","120","299.99"
104,"104","dElUxE","240","599.99"
105,"105","lUxUrY","480","2999.99"
106,"106","basic!","45","150.00"
107,"107","standard#","60","199.99"
108,"108","premium$","120","299.99"
109,"109","deluxe%","240","599.99"
110,"110","luxury@","480","2999.99"
111,"111"," basic ","45","150.00 "
112,"112"," standard ","60"," 199.99"
113,"113"," premium ","120","299.99 "
114,"114"," deluxe ","240","599.99 "
115,"115"," luxury ","480","2999.99 "
116,"116","basic","45","0150.00"
117,"117","standard","60","0199.99"
118,"118","premium","120","0299.99"
119,"119","deluxe","240","0599.99"
120,"120","luxury","480","2999.9900"
121,"121","BASIC","45","150"
122,"122","STANDARD","60","200"
123,"123","PREMIUM","120","300"
124,"124","DELUXE","240","600"
125,"125","LUXURY","480","3000"
126,"126","basic","45","150usd"
127,"127","standard","60","199 dollars"
128,"128","premium","120","299usd"
129,"129","deluxe","240","599usd"
130,"130","luxury","480","2999usd"
131,"131","basic","45","150..00"
132,"132","standard","60","199..99"
133,"133","premium","120","299..99"
134,"134","deluxe","240","599..99"
135,"135","luxury","480","2999..99"
